filename,category,confidence,motion_max,motion_mean,scene_diff_max,scene_diff_mean,brightness_mean
2026-07-01-06-11.mp4,has_truck,1.0,66.8234,12.111,48.053,27.5,131.1678
2026-07-01-06-21.mp4,has_truck,1.0,67.6003,7.7316,61.5881,20.3354,136.7305
2026-07-01-06-31.mp4,has_truck,0.5,28.4375,16.8629,27.6237,16.4908,126.7024
2026-07-01-06-41.mp4,has_truck,0.896,53.7734,11.3131,54.2023,15.4982,128.697
2026-07-01-06-51.mp4,has_truck,0.5,22.7517,2.6228,20.9961,13.1847,136.413
2026-07-01-07-01.mp4,no_truck,0.5,6.8273,1.2848,21.1714,9.2095,137.6257
2026-07-01-07-11.mp4,has_truck,0.743,44.5577,5.9618,46.7691,22.7829,137.7616
2026-07-01-07-21.mp4,no_truck,0.5,11.4319,2.8458,19.2331,11.3758,136.9119
2026-07-01-07-31.mp4,no_truck,0.533,5.6081,1.1649,9.2969,2.4923,137.8003
2026-07-01-07-41.mp4,has_truck,0.73,43.8281,4.2423,44.3767,22.9302,136.0478
2026-07-01-07-51.mp4,has_truck,0.5,24.0048,2.9896,25.8294,9.332,135.8619
2026-07-01-08-01.mp4,no_truck,0.582,5.0143,1.1345,12.9293,5.5684,136.5168
2026-07-01-08-11.mp4,has_truck,0.813,48.806,4.9124,45.4236,30.7006,137.6792
2026-07-01-08-21.mp4,has_truck,1.0,61.9184,6.3463,60.1345,40.5138,134.9892
2026-07-01-08-31.mp4,has_truck,0.5,13.5551,3.2133,25.3299,14.1855,132.8265
2026-07-01-08-41.mp4,has_truck,0.919,55.1115,4.3767,58.7669,18.7161,134.62
2026-07-01-08-51.mp4,no_truck,0.525,5.7005,1.1605,6.0252,3.3987,141.3386
2026-07-01-09-01.mp4,has_truck,0.982,58.9002,4.6975,61.2799,27.6099,140.323
2026-07-01-09-11.mp4,has_truck,1.0,64.7174,3.525,65.4549,31.1169,133.1443
2026-07-01-09-21.mp4,has_truck,0.939,56.3398,1.9456,64.3789,7.1344,124.4562
2026-07-01-09-31.mp4,no_truck,0.5,9.3733,2.5208,11.3967,7.6636,138.9738
2026-07-01-09-41.mp4,has_truck,1.0,60.309,5.6972,61.6589,26.7037,138.2173
2026-07-01-09-51.mp4,has_truck,1.0,61.7652,6.3513,56.9627,29.9139,133.6008
2026-07-01-10-01.mp4,no_truck,0.5,6.3134,0.8414,25.934,7.3571,114.0259
2026-07-01-10-11.mp4,has_truck,0.713,42.7535,1.7487,42.3728,2.6578,99.5511
2026-07-01-10-21.mp4,has_truck,0.502,9.4119,0.3525,40.1432,12.4817,106.743
2026-07-01-10-31.mp4,no_truck,0.762,2.8572,0.1494,6.6884,0.9687,95.2384
2026-07-01-10-41.mp4,no_truck,0.997,0.0417,0.0011,3.3051,1.1079,93.4308
2026-07-01-10-51.mp4,no_truck,0.985,0.1832,0.016,0.5729,0.3377,91.6703
2026-07-01-11-01.mp4,no_truck,0.945,0.6584,0.0327,1.0773,0.3996,91.6573
